case_id,endpoint,bbl,sale_date,deed_document_id,deed_url,purchase_mortgage_document_id,purchase_financing_evidence,distress_evidence,borrower_buyer_match,collateral_match,purchase_vs_refinance,source_pages,reviewer,second_reviewer,notes
H038,z,4032660043,2023-03-31,2023040700184003,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023040700184003,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H039,a,4087540036,2016-07-18,2016072800424001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2016072800424001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H039,z,4087540036,2025-04-16,2025041700652001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025041700652001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H040,a,4046440001,2018-08-17,2018083100962001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2018083100962001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H040,z,4046440001,2025-01-28,2025020400147001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025020400147001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H041,a,4135730003,2019-09-10,2019092501307002,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019092501307002,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H041,z,4135730003,2023-07-18,2023072800806001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023072800806001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H042,a,4051090130,2017-06-19,2017070800021001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017070800021001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H042,z,4051090130,2025-10-21,2025111100163001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025111100163001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H043,a,3013780018,2017-04-28,2017050600054001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017050600054001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H043,z,3013780018,2021-03-08,2021031100733001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2021031100733001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H044,a,3013940005,2017-05-30,2017061200909001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017061200909001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H044,z,3013940005,2023-03-03,,,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H045,a,4076080034,2019-04-30,2019051000657001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2019051000657001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H045,z,4076080034,2025-06-18,2025062300531001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2025062300531001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H046,a,3085260062,2018-10-03,2018101000958001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2018101000958001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H046,z,3085260062,2023-01-13,2023011900876001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023011900876001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H047,a,4060230009,2016-05-26,2016053101053001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2016053101053001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H047,z,4060230009,2023-12-15,2024010800516001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2024010800516001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H048,a,4141750036,2017-10-18,2017102401105001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017102401105001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H048,z,4141750036,2020-12-10,2020122400434001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020122400434001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H049,a,4097360122,2016-05-16,2016051800786001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2016051800786001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H049,z,4097360122,2022-08-26,2022092000944001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2022092000944001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H050,a,2046640033,2017-07-05,2017071301000001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2017071301000001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H050,z,2046640033,2023-02-01,2023021500169001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023021500169001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H051,a,2043730001,2020-11-17,2020120400130001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2020120400130001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
H051,z,2043730001,2024-01-29,2024020500378001,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2024020500378001,NOT_PRESERVED_IN_ARCHIVED_PANEL,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,,,,
