bbl,sale_date,deed,nearest_gap_days,nearest_ties,amount_match_1pct,dof_price,document_amount
1021090075,2025-07-03,2025070700589003,0.0,1,True,1540000.0,1540000.0
1021310136,2018-01-03,2018021201091002,0.0,1,True,998500.0,998500.0
1021310136,2023-03-27,2023040300455001,0.0,1,True,1600000.0,1600000.0
1021560145,2021-02-16,2021021701446001,0.0,1,True,1050000.0,1050000.0
1021560145,2024-12-02,2025011700227001,0.0,1,True,800000.0,800000.0
1021700022,2019-06-13,2019062300063001,0.0,1,True,945000.0,945000.0
1021700022,2023-06-27,2023070500790001,0.0,1,True,1000000.0,1000000.0
1022150438,2018-06-27,2018070301030001,0.0,1,True,403104.0,403104.92
1022150438,2023-07-27,2023080900275001,0.0,1,True,971562.0,971562.0
2022680012,2020-11-13,2020112000446002,0.0,1,True,735000.0,735000.0
2022680012,2025-06-11,2025062500526002,0.0,1,True,850000.0,850000.0
2022720133,2018-11-21,2018120400739001,0.0,1,True,799000.0,799000.0
2022720133,2025-01-21,2025012700497001,0.0,1,True,868000.0,868000.0
2022740015,2019-06-06,2019061400053001,0.0,1,True,850000.0,850000.0
2022740015,2025-06-24,2025063000374001,0.0,1,True,929000.0,929000.0
2022780046,2017-04-10,2017041700148001,0.0,1,True,795000.0,795000.0
2022780046,2021-03-17,2021031800552001,0.0,1,True,875000.0,875000.0
2022800014,2016-08-18,2016082300004001,0.0,1,True,602000.0,602000.0
2022800014,2021-05-13,2021052601475001,0.0,1,True,825000.0,825000.0
2022800069,2017-11-29,2018010800172001,0.0,1,True,500000.0,500000.0
2022800069,2024-08-02,2024080700436001,0.0,1,True,695000.0,695000.0
2022830118,2018-05-09,2018051001004001,0.0,1,True,500000.0,500000.0
2022830118,2021-12-10,2021122000048001,0.0,1,True,1125000.0,1125000.0
2022860112,2016-08-08,2016081100801001,0.0,1,True,560000.0,560000.0
2022860112,2024-07-15,2024071800166001,0.0,1,True,947000.0,947000.0
2022870021,2016-05-04,2016050900065001,0.0,1,True,420000.0,420000.0
2022870021,2024-02-05,2024020700521001,0.0,1,True,849000.0,849000.0
2022880087,2017-10-16,2017102400775001,0.0,1,True,800000.0,800000.0
2022880087,2025-09-03,2025091801119002,0.0,1,True,899000.0,899000.0
2022890120,2016-05-16,2016051900513001,0.0,1,True,525000.0,525000.0
2022890120,2024-02-29,2024030500673001,0.0,1,True,940000.0,940000.0
2022890122,2016-12-19,2016122200457001,0.0,1,True,510000.0,510000.0
2022890122,2024-07-02,2024071000911002,0.0,1,True,999000.0,999000.0
2022890123,2017-06-23,2017062800144001,0.0,1,True,549000.0,549000.0
2022890123,2024-11-19,2024112200278001,0.0,1,True,999999.0,999999.0
2022890128,2021-10-12,2021101400196001,0.0,1,True,885000.0,885000.0
2022890128,2025-08-14,2025081600001002,0.0,1,True,1025000.0,1025000.0
2022890172,2017-12-04,2017120801066001,0.0,1,True,705000.0,705000.0
2022890172,2024-09-06,2024092500189001,0.0,1,True,900000.0,900000.0
2023140082,2018-12-13,2018121800572001,0.0,1,True,825000.0,825000.0
2023140082,2025-12-30,2026010800774001,0.0,1,True,750000.0,750000.0
2023530047,2020-04-03,2020040700163003,0.0,1,True,1140000.0,1140000.0
2023530047,2025-03-27,,0.0,2,False,1035000.0,0.0
2023710005,2017-05-25,2017053001038001,0.0,1,True,317000.0,317000.0
2023710005,2020-09-22,2020092500213001,0.0,1,True,365000.0,365000.0
2023770152,2019-02-08,2019021900420001,0.0,1,True,755000.0,755000.0
2023770152,2025-08-14,2025081600031001,0.0,1,True,940000.0,940000.0
2023790143,2017-12-13,2017121800543001,0.0,1,True,805000.0,805000.0
2023790143,2024-11-13,2024111800699001,0.0,1,True,920000.0,920000.0
2023820134,2017-08-14,2018012300151001,0.0,1,True,730000.0,730000.0
2023820134,2021-03-01,2021030201040001,0.0,1,True,1045000.0,1045000.0
2023880047,2019-03-28,2019040800575001,0.0,1,True,400000.0,400000.0
2023880047,2025-06-27,2025070100811001,0.0,1,True,650000.0,650000.0
2024040033,2017-07-28,2017081001794002,0.0,1,True,549000.0,549000.0
2024040033,2024-08-01,2024081400520001,0.0,1,True,730000.0,730000.0
2024060010,2018-08-21,2018082300531001,0.0,1,True,710000.0,710000.0
2024060010,2023-11-27,2023120400052001,0.0,1,True,1438000.0,1438000.0
2024100023,2018-09-11,2018092000037001,0.0,1,True,400000.0,400000.0
2024100023,2023-12-28,2024010800541001,0.0,1,True,1300000.0,1300000.0
2024100033,2016-11-15,2016112300338001,0.0,1,True,685000.0,685000.0
2024100033,2025-10-30,2025111200242001,0.0,1,True,1350000.0,1350000.0
2024220019,2016-04-28,2016051001282001,0.0,1,True,478000.0,478000.0
2024220019,2024-03-27,2024040200577001,0.0,1,True,900000.0,900000.0
2024220045,2017-12-13,2017122200886001,0.0,1,True,660000.0,660000.0
2024220045,2024-04-17,2024043000209001,0.0,1,True,1259000.0,1259000.0
2024230080,2017-11-08,2017111701029001,0.0,1,True,690000.0,690000.0
2024230080,2022-04-22,2022050400288001,0.0,1,True,750000.0,750000.0
2024230081,2018-02-23,2018022701076001,0.0,1,True,615000.0,615000.0
2024230081,2023-09-08,2023091100561001,0.0,1,True,675000.0,675000.0
2024360031,2017-01-12,2017020101237001,0.0,1,True,335000.0,335000.0
2024360031,2024-05-23,2024060600311001,0.0,1,True,1180000.0,1180000.0
2024360069,2018-06-01,2018060601005001,0.0,1,True,460000.0,460000.0
2024360069,2021-11-19,2021112200589001,0.0,1,True,570000.0,570000.0
2024370036,2020-12-02,2020121500564002,0.0,1,True,650000.0,650000.0
2024370036,2025-07-16,2025080700724001,0.0,1,True,1075000.0,1075000.0
2024370042,2016-07-08,2016071500696001,0.0,1,True,415000.0,415000.0
2024370042,2025-04-25,2025042900296001,0.0,1,True,1425000.0,1425000.0
2024390124,2018-10-12,2018110801285001,0.0,1,True,450000.0,450000.0
2024390124,2024-12-09,2024121600584001,0.0,1,True,474747.0,474747.0
2024470066,2016-10-31,2016110900269001,0.0,1,True,465000.0,465000.0
2024470066,2021-12-31,2022011401223001,0.0,1,True,660000.0,660000.0
2024480003,2018-01-30,2018020600019001,0.0,1,True,610000.0,610000.0
2024480003,2021-12-09,2021121600114001,0.0,1,True,1550000.0,1550000.0
2024520042,2019-07-31,2019080800832002,0.0,1,True,460000.0,460000.0
2024520042,2025-12-08,2025122200232001,0.0,1,True,850000.0,850000.0
2024520070,2019-04-10,2019041500453001,0.0,1,True,620000.0,620000.0
2024520070,2025-01-21,2025012900421001,0.0,1,True,1200000.0,1200000.0
2024520071,2018-03-22,2018032800039001,0.0,1,True,725000.0,725000.0
2024520071,2025-08-04,2025081200437001,0.0,1,True,1200000.0,1200000.0
2024720008,2017-02-03,2017021401032001,0.0,1,True,335000.0,335000.0
2024720008,2023-08-21,2023091300770001,0.0,1,True,800000.0,800000.0
2025060084,2018-09-18,2018092600129001,0.0,1,True,530000.0,530000.0
2025060084,2021-12-20,2021122900210002,0.0,1,True,550000.0,550000.0
2025080012,2019-11-01,2019112601421001,0.0,1,True,379000.0,379000.0
2025080012,2023-04-07,2023041100837001,0.0,1,True,895000.0,895000.0
2025120027,2019-08-22,2019091100257001,0.0,1,True,720000.0,720000.0
2025120027,2022-11-23,2022120800361001,0.0,1,True,515000.0,515000.0
2025140061,2016-06-28,2016070100446001,0.0,1,True,380000.0,380000.0
2025140061,2021-12-21,2021122301273001,0.0,1,True,650000.0,650000.0
2025160117,2017-12-22,2017122701138001,0.0,1,True,685000.0,685000.0
2025160117,2024-07-26,2024082601128001,0.0,1,True,925000.0,925000.0
2025160142,2018-12-21,2018122700550004,0.0,1,True,770000.0,770000.0
2025160142,2023-06-22,2023071201025001,0.0,1,True,940000.0,940000.0
2025160144,2017-12-13,2017121501078001,0.0,1,True,655000.0,655000.0
2025160144,2022-05-09,2022051600267001,0.0,1,True,685000.0,685000.0
2025190015,2020-03-19,2020032500496001,0.0,1,True,455000.0,455000.0
2025190015,2024-11-13,2024112500901001,0.0,1,True,564000.0,564000.0
2025210012,2017-02-10,2017022701338001,0.0,1,True,355000.0,355000.0
2025210012,2022-05-02,2022051601533001,0.0,1,True,500000.0,500000.0
2025240011,2019-02-04,2019020800003001,0.0,1,True,485000.0,485000.0
2025240011,2023-06-23,2023062800157002,0.0,1,True,555000.0,555000.0
2025240114,2021-08-17,2021082501575001,0.0,1,True,840000.0,840000.0
2025240114,2025-02-20,2025030300481001,0.0,1,True,1100000.0,1100000.0
2025240207,2016-03-11,2016031601092001,0.0,1,True,537500.0,537500.0
2025240207,2021-08-09,2021081301169001,0.0,1,True,675000.0,675000.0
2025250027,2018-01-17,2018011700068001,0.0,1,True,450000.0,450000.0
2025250027,2022-05-20,2022052300398001,0.0,1,True,799000.0,799000.0
2025280034,2017-06-05,2017061600822001,0.0,1,True,505000.0,505000.0
2025280034,2022-07-08,2022071300426001,0.0,1,True,400000.0,400000.0
2025540037,2017-06-14,2017061901116001,0.0,1,True,525000.0,525000.0
2025540037,2021-01-05,2021011300506001,0.0,1,True,775000.0,775000.0
2025550025,2019-07-12,2019072300148001,0.0,1,True,485000.0,485000.0
2025550025,2024-06-20,2024062600481001,0.0,1,True,678000.0,678000.0
2025550112,2017-01-13,2017012600448001,0.0,1,True,490000.0,490000.0
2025550112,2021-11-19,2021121700722001,0.0,1,True,910000.0,910000.0
2025650074,2017-10-26,2017103100682001,0.0,1,True,679000.0,679000.0
2025650074,2023-06-15,2023070600392001,0.0,1,True,1425000.0,1425000.0
2025770008,2017-11-01,2017110500014001,0.0,1,True,700000.0,700000.0
2025770008,2022-06-22,2022062700647003,0.0,1,True,1230000.0,1230000.0
2025780016,2017-08-23,2017082900543001,0.0,1,True,500000.0,500000.0
2025780016,2023-08-21,2023082800296001,0.0,1,True,4900000.0,4900000.0
2026120065,2017-11-28,2017121100036001,0.0,1,True,575000.0,575000.0
2026120065,2023-01-03,2023010600170001,0.0,1,True,875000.0,875000.0
2026170055,2016-02-05,2016020802234001,0.0,1,True,585000.0,585000.0
2026170055,2019-07-02,2019070901279001,0.0,1,True,835000.0,835000.0
2026170055,2024-08-15,2024082000552001,0.0,1,True,948200.0,948200.0
2026170057,2017-07-10,2017072000174001,0.0,1,True,525000.0,525000.0
2026170057,2022-03-22,2022032400488001,0.0,1,True,775000.0,775000.0
2026230123,2016-09-14,2016091900039001,0.0,1,True,495000.0,495000.0
2026230123,2025-09-15,2025102800690002,0.0,1,True,799000.0,799000.0
2026240009,2018-12-17,2018122601236002,0.0,1,True,300121.0,300121.13
2026240009,2024-11-20,2024112500183001,0.0,1,True,500000.0,500000.0
2026280042,2016-12-06,2016120800528001,0.0,1,True,525000.0,525000.0
2026280042,2025-01-06,2025011400637001,0.0,1,True,600000.0,600000.0
2026290015,2016-02-25,2016030400188001,0.0,1,True,320000.0,320000.0
2026290015,2024-08-06,2024081300256001,0.0,1,True,625000.0,625000.0
2026330030,2019-12-16,2019122400052001,0.0,1,True,606000.0,606000.0
2026330030,2025-05-13,2025052000183001,0.0,1,True,700000.0,700000.0
2026520026,2018-01-04,2018011700385001,0.0,1,True,736000.0,736000.0
2026520026,2022-05-06,2022050901081001,0.0,1,True,950000.0,950000.0
2026520043,2018-01-31,2018020800994001,0.0,1,True,560000.0,560000.0
2026520043,2025-09-05,2025091700789001,0.0,1,True,651056.0,651056.0
2026620035,2017-01-06,2017011600204002,0.0,1,True,325300.0,325300.0
