bbl,unit_key,sale_day,legacy_k,all_sales_k,expanded_m,extra_competitors,base_candidate_filings,base_filing_competing_sales,base_unique_candidate_document_id,legacy_expanded,expanded_all_competitors,unique_strict,unique_base,unique_wide,stratum,stratum_population,selection_probability,inverse_probability_weight,instrument_unit_match,borrower_purchase_match,evidence_url,reviewer
1005760049,1005760049|11B,2022-11-30,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1008180073,1008180073|8A,2016-02-12,1,1,3,0,0,,,1,1,0,0,-1,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1012470037,1012470037|PH,2024-09-12,1,1,0,0,0,,,0,0,0,0,0,no_filing,23882,0.0012561761996482707,796.0666666666667,UNREVIEWED,UNREVIEWED,,
1014060017,1014060017|7AB,2025-02-11,1,1,1,0,1,1.0,2025020500312001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3011700041,3011700041|1CD,2020-02-17,1,1,1,0,1,1.0,2020020400882001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1014970044,1014970044|4B,2023-04-20,1,1,1,0,1,1.0,2023052400191001,1,1,0,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3002630012,3002630012|5/6,2024-07-18,1,1,1,0,1,1.0,2024071700708001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
3061370135,3061370135|2B,2023-06-27,1,1,1,0,1,1.0,2023062800199001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4032330022,4032330022|47,2017-06-09,1,1,1,0,1,1.0,2017053101747001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4014490032,4014490032|1E,2022-10-13,1,1,1,0,1,1.0,2022101200519001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1012090037,1012090037|16C,2018-05-23,1,1,1,0,1,1.0,2018051700265001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1018770025,1018770025|5B,2023-05-04,1,1,1,0,1,1.0,2023051000839001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1014730014,1014730014|3D,2018-07-23,1,1,2,0,1,1.0,2018071701106001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
2057700069,2057700069|7L,2020-05-14,1,1,2,0,1,1.0,2020052700382001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4032050004,4032050004|B3,2020-04-22,1,1,1,0,1,1.0,2020070600692001,1,1,0,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1015270035,1015270035|5E,2025-10-22,1,1,1,0,1,1.0,2025110301250001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4050200001,4050200001|429,2019-10-23,3,3,1,0,1,1.0,2019110100203001,-1,-1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4014340029,4014340029|3J,2017-12-28,1,1,1,0,1,1.0,2017122900898001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1013920030,1013920030|9A,2024-03-27,1,1,1,0,1,1.0,2024061200882001,1,1,0,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1005670007,1005670007|1A,2018-12-21,1,1,1,0,1,1.0,2018121800428001,1,1,1,1,-1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
4032050012,4032050012|D3,2025-11-19,1,1,1,0,1,1.0,2025112100041001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
1008770026,1008770026|4B,2025-07-23,1,1,1,0,1,1.0,2025080400453001,1,1,1,1,1,timing_unique,9750,0.003076923076923077,325.0,UNREVIEWED,UNREVIEWED,,
