threshold,window_width,comparison,estimate,se,ci_low,ci_high,pre_above,pre_below,post_above,post_below,relative_ratio_change_percent,grandfathering_unresolved
1000000,100000,baseline_2020_2025,0.016614653633061582,0.04521284960515819,-0.07200253159304847,0.10523183885917163,2523,8710,6113,20269,1.675344457981627,False
1000000,100000,pandemic_2020_2021,-0.06942774408837638,0.05899982639480667,-0.18506740382219744,0.046211915645444704,2523,8710,1954,7035,-6.707245952083777,False
1000000,100000,later_2022_2025,0.05917372057929493,0.048060047309387996,-0.035023972147105537,0.1533714133056954,2523,8710,4159,13234,6.095953523689199,False
1000000,100000,2019_H2_season_matched,0.018979266279915086,0.09231225923543737,-0.16195276182154217,0.19991129438137234,1282,4588,445,1606,1.9160517409454927,True
1000000,100000,2019_Q4_season_matched,-0.13552094754299104,0.131293136410168,-0.3928554949069203,0.1218135998209382,636,2181,226,783,-12.673912993273348,True
2000000,100000,baseline_2020_2025,-0.3388113902749958,0.06647965309224159,-0.4691115103357893,-0.2085112702142023,827,1136,1624,3057,-28.73831571184255,False
2000000,100000,pandemic_2020_2021,-0.3437321562459826,0.0888776995121441,-0.517932447289785,-0.16953186520218017,827,1136,503,948,-29.08811643334197,False
2000000,100000,later_2022_2025,-0.33686363894631177,0.07216958797549433,-0.47831603137828066,-0.19541124651434288,827,1136,1121,2109,-28.599380409800094,False
2000000,100000,2019_H2_season_matched,-0.37973946479709875,0.17500191357000638,-0.7227432153943112,-0.03673571419988625,412,588,97,208,-31.59603976048481,True
2000000,100000,2019_Q4_season_matched,-0.6275247108951617,0.22177803673651317,-1.0622096628987276,-0.19283975889159588,187,248,47,103,-46.60882473537397,True
3000000,100000,baseline_2020_2025,-0.6229433129250103,0.12003392866576201,-0.8582098131099039,-0.3876768127401167,381,405,557,1078,-46.363657337505444,False
3000000,100000,pandemic_2020_2021,-0.3872336148020634,0.2008242798628677,-0.7808492033332841,0.00638197372915722,381,405,193,294,-32.10675322755348,False
3000000,100000,later_2022_2025,-0.7285022465309314,0.12598103013478426,-0.9754250655951086,-0.4815794274667543,381,405,364,784,-51.73686882532611,False
3000000,100000,2019_H2_season_matched,-0.3044967655001927,0.23227259394714866,-0.7597510496366041,0.15075751863621867,168,197,41,67,-26.250558634371497,True
3000000,100000,2019_Q4_season_matched,-0.7520185444590315,0.3269347824595102,-1.3928107180796716,-0.11122637083839149,77,80,18,35,-52.858597845993785,True
1000000,150000,baseline_2020_2025,0.055610693176839754,0.034359753809305796,-0.011734424289399609,0.12295581064307912,4463,14613,10955,33092,5.7186033876422915,False
1000000,150000,pandemic_2020_2021,-0.03223297346782139,0.04530539425250213,-0.12103154620272556,0.05656559926708278,4463,14613,3404,11517,-3.1719027976238308,False
1000000,150000,later_2022_2025,0.10022485078883547,0.03602203344561542,0.02962166523542925,0.1708280363422417,4463,14613,7551,21575,10.54194445680168,False
1000000,150000,2019_H2_season_matched,-0.07824151066911134,0.07313264906743266,-0.22158150284127937,0.0650984815030567,2294,7761,754,2752,-7.525893526080435,True
1000000,150000,2019_Q4_season_matched,-0.19684216838336832,0.10084791528545735,-0.3945040823428647,0.0008197455761280725,1126,3672,383,1370,-17.867974661331974,True
2000000,150000,baseline_2020_2025,-0.239692270713956,0.0614630041637657,-0.3601597588749368,-0.11922478255297522,1284,1892,2800,5114,-21.313003325378485,False
2000000,150000,pandemic_2020_2021,-0.15780620785528843,0.08253261357250477,-0.3195701304573978,0.003957714746820912,1284,1892,888,1533,-14.598473261664024,False
2000000,150000,later_2022_2025,-0.27584828593351296,0.06564095070963437,-0.4045045493243963,-0.1471920225426296,1284,1892,1912,3581,-24.107193791002963,False
2000000,150000,2019_H2_season_matched,-0.1739807541045168,0.1504135414988084,-0.46879129544218123,0.12082978723314763,633,978,175,321,-15.96869299196755,True
2000000,150000,2019_Q4_season_matched,-0.3714268106317959,0.20106550709848836,-0.765515204544833,0.022661583281241293,289,432,84,164,-31.02505136890894,True
3000000,150000,baseline_2020_2025,-0.3904067062984014,0.09024956875658165,-0.5672958610613015,-0.2135175515355014,551,638,999,1667,-32.321843280866695,False
