type,threshold,year,borough,local_sales,financed,cash
condo,1000000,2021,2,10,7,3
condo,1000000,2021,3,923,777,146
condo,1000000,2021,4,230,166,64
condo,1000000,2022,1,766,460,306
condo,1000000,2022,2,8,6,2
condo,1000000,2022,3,745,586,159
condo,1000000,2022,4,193,138,55
condo,1000000,2023,1,573,247,326
condo,1000000,2023,2,10,5,5
condo,1000000,2023,3,446,314,132
condo,1000000,2023,4,140,74,66
condo,1000000,2024,1,573,234,339
condo,1000000,2024,2,6,2,4
condo,1000000,2024,3,472,314,158
condo,1000000,2024,4,174,95,79
condo,1000000,2025,1,681,297,384
condo,1000000,2025,2,7,2,5
condo,1000000,2025,3,470,301,169
condo,1000000,2025,4,256,140,116
condo,2000000,2020,1,195,95,100
condo,2000000,2020,2,0,0,0
condo,2000000,2020,3,79,59,20
condo,2000000,2020,4,10,10,0
condo,2000000,2021,1,456,243,213
condo,2000000,2021,2,0,0,0
condo,2000000,2021,3,182,143,39
condo,2000000,2021,4,14,10,4
condo,2000000,2022,1,375,199,176
condo,2000000,2022,2,0,0,0
condo,2000000,2022,3,194,150,44
condo,2000000,2022,4,21,15,6
condo,2000000,2023,1,248,89,159
condo,2000000,2023,2,0,0,0
condo,2000000,2023,3,107,63,44
condo,2000000,2023,4,19,13,6
condo,2000000,2024,1,294,108,186
condo,2000000,2024,2,0,0,0
condo,2000000,2024,3,132,73,59
condo,2000000,2024,4,16,4,12
condo,2000000,2025,1,292,105,187
condo,2000000,2025,2,0,0,0
condo,2000000,2025,3,172,111,61
condo,2000000,2025,4,15,6,9
condo,3000000,2020,1,96,53,43
condo,3000000,2020,2,0,0,0
condo,3000000,2020,3,7,6,1
condo,3000000,2020,4,0,0,0
condo,3000000,2021,1,204,99,105
condo,3000000,2021,2,0,0,0
condo,3000000,2021,3,37,28,9
condo,3000000,2021,4,1,0,1
condo,3000000,2022,1,212,102,110
condo,3000000,2022,2,0,0,0
condo,3000000,2022,3,59,39,20
condo,3000000,2022,4,2,2,0
condo,3000000,2023,1,144,47,97
condo,3000000,2023,2,0,0,0
condo,3000000,2023,3,35,18,17
condo,3000000,2023,4,3,0,3
condo,3000000,2024,1,135,39,96
condo,3000000,2024,2,0,0,0
condo,3000000,2024,3,36,16,20
condo,3000000,2024,4,1,0,1
condo,3000000,2025,1,155,57,98
condo,3000000,2025,2,0,0,0
condo,3000000,2025,3,71,38,33
condo,3000000,2025,4,2,1,1
