type,financed,window,threshold,above,below,log_ratio,ratio,se_log_ratio
house,0,strict,500000,2103,1945,0.0781029196501532,1.0812339331619538,0.03285312941472521
house,0,base,500000,2044,1891,0.07780288266513752,1.0809095716552088,0.03337696898024819
house,0,wide,500000,1878,1648,0.1306449492987912,1.1395631067961165,0.03538456938575613
house,1,strict,500000,6172,1735,1.269015521102092,3.5573487031700286,0.027014607810662398
house,1,base,500000,6231,1789,1.2478800290355028,3.4829513694801566,0.02666587241198086
house,1,wide,500000,6397,2032,1.146808600751765,3.1481299212598426,0.025294831614744256
house,0,strict,1000000,551,1745,-1.152775025483613,0.3157593123209169,0.051123838326094365
house,0,base,1000000,534,1702,-1.1591634701731246,0.3137485311398355,0.0519261251536246
house,0,wide,1000000,521,1644,-1.1491375338627583,0.31690997566909973,0.05273962480804317
house,1,strict,1000000,2117,8827,-1.4278152138853677,0.23983233261583778,0.024178184471785838
house,1,base,1000000,2134,8870,-1.4246766434419265,0.24058624577226606,0.024091807328729627
house,1,wide,1000000,2147,8928,-1.4251208867423113,0.24047939068100357,0.02401280830303671
house,0,strict,2000000,134,251,-0.6276131391808726,0.5338645418326693,0.10702951036355092
house,0,base,2000000,130,244,-0.6296337748376194,0.5327868852459017,0.1084705175143867
house,0,wide,2000000,126,237,-0.6317782341836533,0.5316455696202531,0.11013306877716468
house,1,strict,2000000,282,762,-0.9940394847485327,0.3700787401574803,0.06955143499448734
house,1,base,2000000,286,769,-0.9890991586857913,0.3719115734720416,0.06916025460945234
house,1,wide,2000000,290,776,-0.9842715972026991,0.37371134020618557,0.06872815203123363
house,0,strict,3000000,52,70,-0.2972515234679316,0.7428571428571429,0.183075076175004
house,0,base,3000000,51,68,-0.2876820724517809,0.75,0.18523964340873708
house,0,wide,3000000,49,65,-0.2825669717850105,0.7538461538461538,0.18918979531127333
house,1,strict,3000000,62,148,-0.8700778887190235,0.4189189189189189,0.15128049780067912
house,1,base,3000000,63,150,-0.8675005677047231,0.42,0.15013221686128048
house,1,wide,3000000,65,153,-0.8560506514967984,0.42483660130718953,0.148055945834788
condo,0,strict,500000,1454,1036,0.3389512352740363,1.4034749034749034,0.041476141749297736
condo,0,base,500000,1443,1026,0.34105653304315603,1.4064327485380117,0.04165615455447702
condo,0,wide,500000,1434,1017,0.34361062511100565,1.4100294985250736,0.041802271993882416
condo,1,strict,500000,2758,1409,0.6716255464545668,1.957416607523066,0.033115415262537626
condo,1,base,500000,2769,1419,0.6685338460109191,1.9513742071881606,0.03304059846554693
condo,1,wide,500000,2778,1428,0.6654563804147594,1.9453781512605042,0.032940225076808126
condo,0,strict,1000000,546,1187,-0.776565418864763,0.45998315080033697,0.052105930826366685
condo,0,base,1000000,539,1163,-0.7690425816096672,0.46345657781599314,0.05251452144638499
condo,0,wide,1000000,533,1152,-0.770733417089992,0.4626736111111111,0.05279885973193567
condo,1,strict,1000000,890,2198,-0.9040816722373811,0.4049135577797998,0.03986354903508213
condo,1,base,1000000,897,2222,-0.9071071081407792,0.4036903690369037,0.03975093109836022
condo,1,wide,1000000,903,2233,-0.9053786984231724,0.4043887147335423,0.03963255564978222
condo,0,strict,2000000,285,504,-0.5700870878027181,0.5654761904761905,0.07413600275464925
condo,0,base,2000000,276,498,-0.5901992113075029,0.5542168674698795,0.07516461826930033
condo,0,wide,2000000,267,491,-0.609195469394271,0.5437881873727087,0.07598616606189644
condo,1,strict,2000000,311,545,-0.56099288248401,0.5706422018348624,0.0711245177885645
condo,1,base,2000000,320,551,-0.5434138133591422,0.5807622504537205,0.07034416678530436
condo,1,wide,2000000,329,558,-0.5283012116159391,0.589605734767025,0.06957013805780601
condo,0,strict,3000000,130,227,-0.5574155670258203,0.5726872246696035,0.11021870800880734
condo,0,base,3000000,126,219,-0.5527898228650229,0.5753424657534246,0.1120545169731601
condo,0,wide,3000000,126,214,-0.5296941080703735,0.5887850467289719,0.11252203552128305
condo,1,strict,3000000,77,201,-0.9594994862053919,0.38308457711442784,0.13402289865960385
condo,1,base,3000000,81,209,-0.9478850972923721,0.3875598086124402,0.13088303177861135
condo,1,wide,3000000,81,214,-0.9715268603494127,0.37850467289719625,0.13045526516245848
