,S0_original|residual,S0_original|joint,S1_permit_free|residual,S1_permit_free|joint,S2_named_institution_exclusion|residual,S2_named_institution_exclusion|joint,S3_buyer_seller_controls|residual,S3_buyer_seller_controls|joint,S4_same_linked_sample|residual,S4_same_linked_sample|joint,S5_community_district_year|residual,S5_community_district_year|joint,S6_zip_year|residual,S6_zip_year|joint,S7_stable_financing|residual,S7_stable_financing|joint,S8_broad_lender_exclusion|residual,S8_broad_lender_exclusion|joint,S9_unique_deed_amount_match|residual,S9_unique_deed_amount_match|joint
S5_community_district_year|residual,4.0529248699414786e-05,4.158409299492798e-05,5.476223897805518e-05,5.6455416858290766e-05,5.7985574129149246e-05,5.977268266663606e-05,5.768952167412751e-05,6.661229219864002e-05,5.855996260783135e-05,6.750965097768176e-05,5.560525937323089e-05,6.922296213504265e-05,4.219302372199953e-05,5.972761938329186e-05,4.100325587998866e-05,5.882227280324513e-05,4.184863737362396e-05,5.908184115940934e-05,3.946856417676758e-05,5.6781248938769254e-05
S5_community_district_year|joint,5.1655255681209446e-05,5.31067469923186e-05,6.981356259100916e-05,7.21274684664746e-05,7.390422005897373e-05,7.637598294518658e-05,7.201654076060704e-05,8.420907106699267e-05,7.304755685244237e-05,8.531500874772792e-05,6.922296213504265e-05,8.782157499730395e-05,5.262641551656885e-05,7.589387156605162e-05,5.117644776764897e-05,7.476992496924774e-05,5.216486208949893e-05,7.503010904359869e-05,4.925613783651376e-05,7.225293939952082e-05
S6_zip_year|residual,3.1448255035421615e-05,3.22523517387398e-05,4.2680789190492834e-05,4.39769241771259e-05,4.526912346261126e-05,4.66395202262197e-05,4.5652845930035895e-05,5.277689332216015e-05,4.635844004813322e-05,5.351258456376172e-05,4.219302372199953e-05,5.262641551656885e-05,4.220045225476387e-05,5.938936270054011e-05,4.106201092462202e-05,5.8545804346219e-05,4.187097692604478e-05,5.876080211605583e-05,3.8364070140535186e-05,5.481584120802304e-05
S6_zip_year|joint,4.561145463816522e-05,4.6870404205798806e-05,6.190567953117423e-05,6.392269358899218e-05,6.563273138993643e-05,6.779262985241547e-05,6.483825474103379e-05,7.592530837395418e-05,6.576873523065581e-05,7.693590625114349e-05,5.972761938329186e-05,7.589387156605162e-05,5.938936270054011e-05,8.576121446406834e-05,5.786220244206338e-05,8.461418325673768e-05,5.887874313785809e-05,8.479626233485343e-05,5.400803098173397e-05,7.934987988646413e-05
S7_stable_financing|residual,3.0235476802073058e-05,3.1022853556969024e-05,4.1055545633935636e-05,4.2310310543458766e-05,4.355987917629611e-05,4.4892570174138436e-05,4.418399011336821e-05,5.1094420429889785e-05,4.486549683457409e-05,5.180407658417847e-05,4.100325587998866e-05,5.117644776764897e-05,4.106201092462202e-05,5.786220244206338e-05,4.280713162890749e-05,6.0999202608429664e-05,4.077074448820454e-05,5.729627213060531e-05,3.751196805206335e-05,5.368510437056272e-05
S7_stable_financing|joint,4.447748875507659e-05,4.572849834890973e-05,6.0393225269892817e-05,6.237543889682024e-05,6.404964760482935e-05,6.61820551567513e-05,6.36403757820158e-05,7.452853244086671e-05,6.455082340343406e-05,7.551536306846536e-05,5.882227280324513e-05,7.476992496924774e-05,5.8545804346219e-05,8.461418325673768e-05,6.0999202608429664e-05,8.910421659658222e-05,5.807755898950564e-05,8.372132931397871e-05,5.350004568874927e-05,7.867652570784313e-05
S8_broad_lender_exclusion|residual,3.127863788267886e-05,3.207808828318352e-05,4.246503915005159e-05,4.375876210145931e-05,4.5017833377710556e-05,4.63879840954733e-05,4.525746009352449e-05,5.2305403633239796e-05,4.596195695342508e-05,5.3040335930002125e-05,4.184863737362396e-05,5.216486208949893e-05,4.187097692604478e-05,5.887874313785809e-05,4.077074448820454e-05,5.807755898950564e-05,4.2803441280943545e-05,6.002451300876468e-05,3.803383661162447e-05,5.429342578498551e-05
S8_broad_lender_exclusion|joint,4.526712055663165e-05,4.65177940081593e-05,6.145550165869672e-05,6.346589745548607e-05,6.512354906347079e-05,6.727884894423788e-05,6.415011261486478e-05,7.508588390525908e-05,6.507860631819615e-05,7.609402478177148e-05,5.908184115940934e-05,7.503010904359869e-05,5.876080211605583e-05,8.479626233485343e-05,5.729627213060531e-05,8.372132931397871e-05,6.002451300876468e-05,8.639360462127823e-05,5.338673014017531e-05,7.837530862049744e-05
S9_unique_deed_amount_match|residual,2.909493999552936e-05,2.986550741738503e-05,3.938524773870298e-05,4.062480948844483e-05,4.1684731135214616e-05,4.299524551561155e-05,4.171910756843526e-05,4.821624473966209e-05,4.238509052984053e-05,4.8910475624204136e-05,3.946856417676758e-05,4.925613783651376e-05,3.8364070140535186e-05,5.400803098173397e-05,3.751196805206335e-05,5.350004568874927e-05,3.803383661162447e-05,5.338673014017531e-05,3.9681285397129305e-05,5.674626090557526e-05
S9_unique_deed_amount_match|joint,4.2955918954386536e-05,4.4186308939815956e-05,5.815563619040044e-05,6.0122517201507646e-05,6.151325848995608e-05,6.361596832963548e-05,6.0247826188636874e-05,7.059523932127196e-05,6.11327322994033e-05,7.155696598009571e-05,5.6781248938769254e-05,7.225293939952082e-05,5.481584120802304e-05,7.934987988646413e-05,5.368510437056272e-05,7.867652570784313e-05,5.429342578498551e-05,7.837530862049744e-05,5.674626090557526e-05,8.351734896644642e-05
