name,role,specific_institution_rule,broad_rule,pair_endpoint_occurrences,validation_status
"WELLS FARGO BANK, NATIONAL ASSOCIATION AS TRUSTEE",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"CIT BANK, N.A.",seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
CASCADE FUNDING MORTGAGE TRUST HB7,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB, AS OWNER",seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, NATIONAL ASSOCIATION AS TRUSTEE FOR",buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"PNC BANK, NATIONAL ASSOCIATION",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
U.S. BANK TRUST NATIONAL ASSOCIATION,buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"DLJ MORTGAGE CAPITAL, INC.",seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"HSBC BANK USA, NATIONAL ASSOCIATION, AS TRUSTEE",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"CHRISTIANA TRUST, A DIVISION OF WILMINGTON SAVINGS",buyer,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON SAVINGS FUND SOCIETY, FSB AS TRUSTEE",seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
"WELLS FARGO BANK, NATIONAL ASSOCIATION",buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST N.A., AS TRUSTEE FOR LSF8 MASTER",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
FEDERAL NATIONAL MORTGAGE ASSN (''FANNIE MAE''),seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"CITIBANK, N.A. AS TRUSTEE",seller,True,False,2,name-rule audit only; foreclosure/REO not legally validated
"NATIONSTAR MORTGAGE, LLC",buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
FIRST FRANKLIN MORTGAGE LOAN TRUST,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
PRETIUM MORTGAGE ACQUISITION TRUST,seller,False,True,2,name-rule audit only; foreclosure/REO not legally validated
SECRETARY OF HOUSING AND URBAN DEVELOPMENT,buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"DEUTSCHE BANK NATIONAL TRUST COMPANY,",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NATIONAL ASSOCIATION, AS TRUSTEE FOR CRE",seller,True,True,2,name-rule audit only; foreclosure/REO not legally validated
DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE,buyer,True,True,2,name-rule audit only; foreclosure/REO not legally validated
"ASSOCIATION, FEDERAL NATIONAL MORTGAGE",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
"WILLMINGTON SAVINGS FUND SOCIETY, FSB AS TRUSTEE",buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
HSBC BANK USA NATIONAL ASSOCIATION,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
WELLS FARGO ASSET SECURITIES CORPORATION,seller,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"WILMINGTON TRUST NATIONAL ASSOCIATION, AS TRUSTEE",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
NATIONSTAR MORTGAGE LLC D/B/A MR. COOPER,buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FEDERAL NATIONAL MORTAGE ASSOCIATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
DLJ MORTGAGE CAPITAL INC.,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK NA, AS TRUSTEE FOR J.P. MORGAN MORTGAGE",buyer,True,True,1,name-rule audit only; foreclosure/REO not legally validated
FREEDOM MORTGAGE CORPORATION,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
MORTGAGE EQUITY CONVERSION ASSET TRUST 2011-1 ETC,buyer,False,True,1,name-rule audit only; foreclosure/REO not legally validated
U.S BANK NATIONAL ASSOCIATION AS TRUSTEE FOR MORTG,seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
NEW RESIDENTIAL MORTGAGE LLC,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"UMB BANK, NATIONAL ASSOCIATION, NOT IN ITS INDIVID",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
CITIMORTGAGE INC.,seller,True,False,1,name-rule audit only; foreclosure/REO not legally validated
"LOAN TRUST, SERIES 2014-3",seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
AS TRUSTEE FOR STANWICH MORTGAGE,seller,False,True,1,name-rule audit only; foreclosure/REO not legally validated
"U.S. BANK TRUST N.A., AS TRUSTEE FOR LSF11 MASTER",seller,True,True,1,name-rule audit only; foreclosure/REO not legally validated
